cer	t͡ʃ e r
spermei	s p e r m e j
fac	f a k
tatueze	t a t u e z e
mărturisind	m ə r t u r i s i n d
pornitul	p o r n i t u l
sloboz	s l o b o z
dormim	d o r m i m
fișier	f i ʃ i e r
folosiți	f o l o s i t͡sʲ
somarăți	s o m a r ə t sʲ
părți	p ə r t͡sʲ
aceștia	a t͡ʃ e ʃ t j a
scroturi	s k r o t u rʲ
sunetul	s u n e t u l
armenia	a r m e n i a
erotici	e r o t i t͡ʃʲ
înzestraserăți	ɨ n z e s t r a s e r ə t sʲ
pilotai	p i l o t a a j
întristaserăm	ɨ n t r i s t a s e r ə m
citești	t ʃ i t e ʃ tʲ
omniprezentelor	o m n i p r e z e n t e l o r
zone	z o n e
citeam	t ʃ i t j a m
pornograficele	p o r n o ɡ r a f i t͡ʃ e l e
armăsar	a r m ə s a r
grăbesc	ɡ r ə b e s k
minut	m i n u t
negri	n e ɡ r i
slobozi	s l o b o zʲ
frumosul	f r u m o s u
picolo	p i k o l o
șantajistei	ʃ a n t a ʒ i s t e j
spovedita	s p o v e d i t a
pilotează	p i l o t a j a z ə
slovenii	s l o v e n i j
uter	u t e r
folosește	f o l o s e ʃ t e
racoviță	r a k o v i t͡s ə
lubrifia	l u b r i f i a
baligă	b a l i ɡ ə
cuvântul	k u v ɨ n t u l
și	ʃ i
fumezi	f u m e zʲ
șoptiseși	ʃ o p t i s e ʃʲ
călătoare	k ə l ə t o̯ a r e
stimulați	s t i m u l a t͡sʲ
lins	l i n s
absorbi	a p s o r b i
porneați	p o r n j a t sʲ
șoptisem	ʃ o p t i s e m
sexuală	s e k s u a l ə
fanteziile	f a n t e z iː l e
tatuaseși	t a t u a s e ʃʲ
penă	p e n ə
somă	s o m ə
șurubelniță	ʃ u r u b e l n i t s ə
călători	k ə l ə t o rʲ
furnică	f u r n i k ə
pornește	p o r n e ʃ t e
acuma	a k u m a
opriseră	o p r i s e r ə
bulgăresc	b u l ɡ ə r e s k
contribuție	k o n t r i b u t͡s i e
resursă	r e s u r s ə
universitate	u n i v e r s i t a t e
întâlneați	ɨ n t ɨ l n j a t sʲ
boașe	b o̯ a ʃ e
beniamin	b e n j a m i n
întâlniserăm	ɨ n t ɨ l n i s e r ə m
pește	p e ʃ t e
opriților	o p r i t͡s i l o r
nălucirăți	n ə l u t ʃ i r ə t sʲ
rege	r e d͡ʒ e
corn	k o r n
vieților	v j e t s i l o r
gravită	ɡ r a v i t ə
școală	ʃ k o̯ a l ə
tânăr	t ɨ n ə r
zăpușiși	z ə p u ʃ i ʃʲ
ăsta	ə s t a
gândiți	ɡ ɨ n d i t͡sʲ
atroce	a t r o t͡ʃ e
copleșitoare	k o p l e ʃ i t o̯ a r e
poșetă	p o ʃ e t ə
paradoxurile	p a r a d o k s u r i l e
limitase	l i m i t a s e
geană	d͡ʒ e̯ a n ə
grăbitelor	ɡ r ə b i t e l o r
distraserăți	d i s t r a s e r ə t sʲ
graniță	ɡ r a n i t͡s ə
primitul	p r i m i t u
ungaria	u n ɡ a r i a
strungă	s t r u n ɡ ə
finlandez	f i n l a n d e z
lipseai	l i p s j a j
delimitaseră	d e l i m i t a s e r ə
numiseși	n u m i s e ʃʲ
dau	d a u
revistă	r e v i s t ə
avantaj	a v a n t a ʒ
plictisite	p l i k t i s i t e
brazilia	b r a z i l i a
vorbeați	v o r bʲ æ t͡sʲ
citind	t ʃ i t i n d
ironic	i r o n i k
frățește	f r ə t͡s e ʃ t e
dinți	d i n t͡sʲ
limitasem	l i m i t a s e m
funcționase	f u n k t͡s i o n a s e
pregătise	p r e ɡ ə t i s e
nori	n o rʲ
amorțit	a m o r t s i t
ivorian	i v o r i a n
săvârși	s ə v ɨ r ʃ i
distrat	d i s t r a t
paradox	p a r a d o k s
făceam	f ə t͡ʃ e̯ a m
mulțumisem	m u l t s u m i s e m
controlat	k o n t r o l a t
stupiditate	s t u p i d i t a t e
numai	n u m a j
prietenos	p r i e t e n o s
cred	k r ɛ d
bănescu	b ɘ n e s k u
apocalipticei	a p o k a l i p t i t͡ʃ e j
nălucise	n ə l u t ʃ i s e
harpe	h a r p e
identitate	i d e n t i t a t e
frumoasa	f r u m o̯ a s a
scrotalele	s k r o t a l e l e
verb	v e r b
urinat	u r i n a t
iubite	j u b i t e
veștejiți	v e ʃ t e ʒ i t͡sʲ
mărturisită	m ə r t u r i s i t ə
paraziți	p a r a z i t͡sʲ
iubiseră	j u b i s e r ə
boșul	b o ʃ u l
torturasem	t o r t u r a s e m
deschis	d e s k i s
ejaculat	e ʒ a k u l a t
suc	s u k
pulelor	p u l e l o r
grăbiserăm	ɡ r ə b i s e r ə m
gânditului	ɡ ɨ n d i t u l u j
zonei	z o n e j
răpiții	r ə p i t͡s iː
formăm	f o r m ə m
clădirăți	k l ə d i r ə t sʲ
plictisirăți	p l i k t i s i r ə t sʲ
profesoară	p r o f e s o̯ a r ə
dezbrăcat	d e z b r ə k a t
excavau	e k s k a v a w
șantajistul	ʃ a n t a ʒ i s t u l
necesitate	n e t͡ʃ e s i t a t e
armăsarul	a r m ə s a r u l
gândesc	ɡ ɨ n d e s k
furi	f u rʲ
real	r e a l
tub	t u b
plictiseai	p l i k t i s j a j
găsind	ɡ ə s i n d
franceză	f r a n t͡ʃ e z ə
săptămână	s ə p t ə m ɨ n ə
porneam	p o r n j a m
dușmăni	d u ʃ m ə n i
ultima	u l t i m a
bucile	b u t ʃ i l ɛ
opresc	o p r e s k
sodomit	s o d o m i t
primiților	p r i m i t͡s i l o r
gândac	ɡ ɨ n d a k
porniserăm	p o r n i s e r ə m
discreta	d i s k r e t a
șantajista	ʃ a n t a ʒ i s t a
sângerarăți	s ɨ n d͡ʒ e r a r ə t sʲ
canale	k a n a l e
coi	k o j
delimitaseși	d e l i m i t a s e ʃʲ
active	a k t i v e
ejaculează	e ʒ a k u l j a z ə
dușmăneau	d u ʃ m ə n j a w
controlase	k o n t r o l a s e
clădite	k l ə d i t e
sângerară	s ɨ n d͡ʒ e r a r ə
simplifica	s i m p l i f i k a
primesc	p r i m e s k
creaserăm	k r e a s e r ə m
milă	m i l ə
folosind	f o l o s i n d
freacă	f rʲ æ k ə
stimulez	s t i m u l e z
testiculul	t e s t i k u l u l
asurzita	a s u r z i t a
rog	r o ɡ
năluciseră	n ə l u t ʃ i s e r ə
grăbea	ɡ r ə b j a
sexualului	s e k s u a l u l u j
șoptesc	ʃ o p t e s k
majoritate	m a ʒ o r i t a t e
ciocolată	t͡ʃ j o k o l a t ə
iluzoriului	i l u z o r j u l u j
dorin	d o r i n
spovedesc	s p o v e d e s k
șanse	ʃ a n s e
stimuli	s t i m u lʲ
visător	v i s ə t o r
cadavrul	k a d a v r u
mii	m iː
soră	s o r ə
delirăm	d e l i r ə m
adorase	a d o r a s e
slovenelor	s l o v e n e l o r
misteriosul	m i s t e r i o s u
vorbit	v o r b i t
vultur	v u l t u r
supseseră	s u p s e s e r ə
rele	r e l e
tentaserăți	t e n t a s e r ə t sʲ
zână	z ɨ n ə
cenzurai	t͡ʃ e n z u r a j
fututei	f u t u t e j
nouă	n o w ə
accelerație	a k t͡ʃ e l e r a t͡s i e
epistolă	e p i s t o l ə
tentante	t e n t a n t e
elizeu	e l i z e w
sfârșirăm	s f ɨ r ʃ i r ə m
crucifica	k r u t͡ʃ i f i k a
cititul	t͡ʃ i t i t u
puloșilor	p u l o ʃ i l o r
costescu	k o s t e s k u
accelerăm	a k t͡ʃ e l e r ə m
întâlnii	ɨ n t ɨ l n iː
erotice	e r o t i t͡ʃ e
prezervativele	p r e z e r v a t i v e l e
pulile	p u l i l e
sexualei	s e k s u a l e j
fundamentali	f u n d a m e n t a lʲ
găseai	ɡ ə s j a j
mele	m e l e
tentați	t e n t a t͡sʲ
vreți	v r e t sʲ
sfârșiși	s f ɨ r ʃ i ʃʲ
deranjez	d e r a n ʒ e z
porniți	p o r n i t͡sʲ
stupide	s t u p i d e
controlaseși	k o n t r o l a s e ʃʲ
citiseși	t ʃ i t i s e ʃʲ
când	k ɨ n d
spermă	s p ɛ r m ə
acceleraserăm	a k t͡ʃ e l e r a s e r ə m
sorin	s o r i n
năluciserăm	n ə l u t ʃ i s e r ə m
sfârșea	s f ɨ r ʃ j a
hamacuri	h a m a k u rʲ
deranjaseși	d e r a n ʒ a s e ʃʲ
lipsitelor	l i p s i t e l o r
sexual	s e k s u a l
înzestrate	ɨ n z e s t r a t e
mei	m e j
torturai	t o r t u r a j
torturași	t o r t u r a ʃʲ
pregătească	p r e ɡ ə t j a s k ə
zăpușitul	z ə p u ʃ i t u l
sunet	s u n e t
motiv	m o t i v
puțoi	p u t s o j
botez	b o t e z
coșmar	k o ʃ m a ɾ
întrebare	ɨ n t r e b a r e
șantajistelor	ʃ a n t a ʒ i s t e l o r
sodomizată	s o d o m i z a t ə
dușmăneați	d u ʃ m ə n j a t sʲ
sălbatice	s ə l b a t i t͡ʃ e
câștige	k ɨ ʃ t i d͡ʒ e
pus	p u s
zăpușească	z ə p u ʃ j a s k ə
pierde	p j e r d e
moldovean	m o l d o v e̯ a n
adjectiv	a d ʒ e k t i v
mulțumeai	m u l t s u m j a j
saramură	s a r a m u r ə
ling	l i ŋ ɡ
iubești	j u b e ʃ tʲ
gândii	ɡ ɨ n d iː
omniprezente	o m n i p r e z e n t e
călătorite	k ə l ə t o r i t e
deci	d e t͡ʃʲ
călătoriră	k ə l ə t o r i r ə
seducem	s e d u t͡ʃ e m
întăritul	ɨ n t ə r i t u l
azeră	a z e r ə
distraseră	d i s t r a s e r ə
copleșitorilor	k o p l e ʃ i t o r i l o r
creangă	k ɾ e̯ a ŋ ɡ ə
furculiță	f u r k u l i t͡s ə
gravitaseră	ɡ r a v i t a s e r ə
sodomizatei	s o d o m i z a t e j
șantajatele	ʃ a n t a ʒ a t e l e
feminitate	f e m i n i t a t e
ejaculând	e ʒ a k u l ɨ n d
eroticei	e r o t i t͡ʃ e j
veșteji	v e ʃ t e ʒ i
diminețile	d i m i n e t s i l e
dormi	d o r m i
deranjasem	d e r a n ʒ a s e m
iluzie	i l u z i e
monocrom	m o n o k r o m
pederast	p ɛ d ɛ r a s t
pornești	p o r n e ʃ tʲ
pregătește	p r e ɡ ə t e ʃ t e
controlaserăți	k o n t r o l a s e r ə t sʲ
plug	p l u ɡ
unic	u n i k
scrotalul	s k r o t a l u l
voi	v o j
șantajez	ʃ a n t a ʒ e z
orientam	o r i e n t a m
fund	f u n d
mulțumeați	m u l t s u m j a t sʲ
bărbatul	b ə r b a t u
săi	s ə j
delimitarăm	d e l i m i t a r ə m
veștejit	v e ʃ t e ʒ i t
zăpușind	z ə p u ʃ i n d
central	t͡ʃ e n t r a l
sfârșii	s f ɨ r ʃ iː
analizarăți	a n a l i z a r ə t sʲ
viii	v i j i
vrut	v r u t
șantajistului	ʃ a n t a ʒ i s t u l u j
vergi	v e r d͡ʒʲ
albaneză	a l b a n e z ə
numărului	n u m ə r u l u j
sfinx	s f i n k s
anateme	a n a t e m e
delicioși	d e l i t͡ʃ j o ʃʲ
promițând	p r o m i t s ɨ n d
dicționarul	d i k t͡s i o n a r u l
văilor	v ə j l o r
distraseși	d i s t r a s e ʃʲ
șantajezi	ʃ a n t a ʒ e zʲ
asurzeau	a s u r z j a w
demnitate	d e m n i t a t e
accelerași	a k t͡ʃ e l e r a ʃʲ
crezi	k r e zʲ
găsiseră	ɡ ə s i s e r ə
împărăteasă	ɨ m p ə r ə t e̯ a s ə
paradoxul	p a r a d o k s u l
tale	t a l e
întărise	ɨ n t ə r i s e
întristam	ɨ n t r i s t a m
găsisem	ɡ ə s i s e m
lumină	l u m i n ə
întâlnise	ɨ n t ɨ l n i s e
numele	n u m e l e
iluzoriul	i l u z o r j u
vadă	v a d ə
pilotase	p i l o t a a s e
sănătate	s ə n ə t a t e
urinaseră	u r i n a s e r ə
numite	n u m i t e
macabre	m a k a b r e
mulțumitele	m u l t͡s u m i t e l e
puloșii	p u l o ʃ iː
folositul	f o l o s i t u
slovenei	s l o v e n e j
somaserăm	s o m a s e r ə m
mile	m i l e
funcționeze	f u n k t͡s i o n e z e
acestei	a t͡ʃ e s t e j
frecaseși	f r e k a s e ʃʲ
asurzit	a s u r z i t
nălucită	n ə l u t͡ʃ i t ə
protejară	p r o t e ʒ a r ə
cirac	t͡ʃ i r a k
opream	o p r j a m
gândiserăm	ɡ ɨ n d i s e r ə m
analizăm	a n a l i z ə m
șoptește	ʃ o p t e ʃ t e
bestialitate	b e s t i a l i t a t e
abandonezi	a b a n d o n e zʲ
libertate	l i b e r t a t e
ajutor	a ʒ u t o r
îmbunătățirăți	ɨ m b u n ə t ə t s i r ə t sʲ
abandonase	a b a n d o n a s e
america	a m e r i k a
asurziții	a s u r z i t͡s iː
muribund	m u r i b u n̪ d̪
chestii	k e s t i j
formatei	f o r m a t e j
ofer	o f e r
gândeam	ɡ ɨ n d j a m
pornim	p o r n i m
făcuserăți	f ə k u s e r ə t͡sʲ
amarilisul	a m a r i l i s u
orientarăm	o r i e n t a r ə m
visului	v i s u l u j
cerea	t͡ʃ e rʲ æ
nălucească	n ə l u t ʃ j a s k ə
primitului	p r i m i t u l u j
formă	f o r m ə
fantezia	f a n t e z i a
fusese	f u s e s e
evlavioasă	e v l a v i o̯ a s ə
câștigați	k ɨ ʃ t i ɡ a t͡sʲ
folosise	f o l o s i s e
mărturisitului	m ə r t u r i s i t u l u j
pregătea	p r e ɡ ə t j a
urinăm	u r i n ə m
futeați	f u t e̯ a t͡sʲ
eroticii	e r o t i t͡ʃ iː
sodomizarăți	s o d o m i z a r ə t͡sʲ
futuseră	f u t u s e r ə
abandonară	a b a n d o n a r ə
indiscreta	i n d i s k r e t a
aduce	a d u t ʃ e
deliraserăm	d e l i r a s e r ə m
frecăm	f r e k ə m
bruia	b r u j a
canada	k a n a d a
mea	m e̯ a
stimulăm	s t i m u l ə m
creați	k r e a t͡sʲ
zăpușiții	z ə p u ʃ i t͡s iː
iluzoriile	i l u z o r iː l e
întâlnim	ɨ n t ɨ l n i m
protejaseși	p r o t e ʒ a s e ʃʲ
neutre	n e u t r e
arbust	a r b u s t
zărgan	z ə r ɡ a n
limitarăm	l i m i t a r ə m
întristase	ɨ n t r i s t a s e
sfârșești	s f ɨ r ʃ e ʃ tʲ
ceh	t͡ʃ e x
primirăm	p r i m i r ə m
constantinescu	k o n s t a n t i n e s k u
năluciți	n ə l u t͡ʃ i t͡sʲ
pornită	p o r n i t ə
sexualii	s e k s u a l i j
veștejeați	v e ʃ t e ʒ e̯ a t͡sʲ
sugeai	s u d͡ʒ e̯ a j
sfârșitelor	s f ɨ r ʃ i t e l o r
scălda	s k ə l d a
turtit	t u r t i t
formaserăm	f o r m a s e r ə m
balcanic	b a l k a n i k
promit	p r o m i t
stimulasem	s t i m u l a s e m
înzestraseră	ɨ n z e s t r a s e r ə
eroticelor	e r o t i t͡ʃ e l o r
nălucirăm	n ə l u t ʃ i r ə m
mănânce	m ə n ɨ n t͡ʃ e
întărite	ɨ n t ə r i t e
pornita	p o r n i t a
vorbise	v o r b i s e
sângerând	s ɨ n d͡ʒ e r ɨ n d
bolnăvicios	b o l n ə v i t͡ʃ j o s
cadă	k a d ə
spovedirăți	s p o v e d i r ə t sʲ
clădiții	k l ə d i t͡s iː
mânca	m ɨ n k a
omniprezență	o m n i p r e z e n t s ə
asexualitate	a s e k s u a l i t a t e
culoarea	k u l o̯ a r e̯ a
narcotice	n a ɾ k o t i t͡ʃ e
gravitase	ɡ r a v i t a s e
sugeau	s u d͡ʒ e̯ a w
grăbiră	ɡ r ə b i r ə
limită	l i m i t ə
vorbeau	v o r bʲ æ u
coapsă	kʷ a p s ə
răpiserăm	r ə p i s e r ə m
acestuia	a t͡ʃ e s t u j a
misterioaselor	m i s t e r i o̯ a s e l o r
pornite	p o r n i t e
răpirăți	r ə p i r ə t sʲ
amarilisului	a m a r i l i s u l u j
armăsarilor	a r m ə s a r i l o r
primirăți	p r i m i r ə t sʲ
urdă	u r d ə
sufletul	s u f l e t u l
veștejiră	v e ʃ t e ʒ i r ə
izvor	i z v o ɾ
lapte	l a p t e
sarcastic	s a r k a s t i k
homosexualul	h o m o s e k s u a l u
călătorita	k ə l ə t o r i t a
promis	p r o m i s
găseau	ɡ ə s j a w
sodomizat	s o d o m i z a t
alcoolică	a l k o o l i k ə
nălucim	n ə l u t ʃ i m
perioadă	p e r i o̯ a d ə
sperme	s p e r m e
mărturisirăm	m ə r t u r i s i r ə m
lipsitei	l i p s i t e j
delirului	d e l i r u l u j
dușmăniții	d u ʃ m ə n i t͡s iː
neprotejat	n e p r o t e ʒ a t
patru	p a t r u
veștejitele	v e ʃ t e ʒ i t e l e
trăiască	t r ə j a s k ə
întăritele	ɨ n t ə r i t e l e
fântână	f ɨ n t ɨ n ə
familia	f a m i l i a
lipseam	l i p s j a m
este	j e s t e
cititele	t͡ʃ i t i t e l e
șmecherie	ʃ m e k e r i e
înzestram	ɨ n z e s t r a m
manechinul	m a n e k i n u
mulțumirăm	m u l t s u m i r ə m
cehă	t͡ʃ e h ə
gândind	ɡ ɨ n d i n d
mărturisit	m ə r t u r i s i t
copleși	k o p l e ʃ i
iluzii	i l u z iʲ
trimite	t r i m i t e
fraternității	f r a t e r n i t ə t͡s iʲ
iluzorii	i l u z o r iː
azeri	a z e rʲ
sângerăm	s ɨ n d͡ʒ e r ə m
clădească	k l ə d j a s k ə
întăriți	ɨ n t ə r i t͡sʲ
vocale	v o k a l e
analizați	a n a l i z a t͡sʲ
întâlnitelor	ɨ n t ɨ l n i t e l o r
șantajă	ʃ a n t a ʒ ə
obiect	o b j e k t
oltenia	o l t e n i a
plictiseam	p l i k t i s j a m
rădașcă	r ə d a ʃ k ə
vrem	v r e m
munți	m u n t sʲ
muriți	m u r i t͡sʲ
prepuț	p r ɛ p u t s
șantajist	ʃ a n t a ʒ i s t
sugi	s u d͡ʒʲ
nălucind	n ə l u t ʃ i n d
simpla	s i m p l a
excavasem	e k s k a v a s e m
momente	m o m e n t e
localitate	l o k a l i t a t e
ploaie	p lʷ a j e
grăbind	ɡ r ə b i n d
palincă	p a l i ŋ k ə
larg	l a r ɡ
romane	r o m a n e
rășină	ɾ ə ʃ i n ə
acceleram	a k t͡ʃ e l e r a m
somau	s o m a w
testosteron	t e s t o s t e r o n
căprioară	k ə p r i o̯ a r ə
băiețelului	b ə j e t͡s e l u l u j
ajut	a ʒ u t
primită	p r i m i t ə
pregătite	p r e ɡ ə t i t e
masturbator	m a s t u r b a t o r
funcționam	f u n k t͡s i o n a m
preludiu	p r e l u d j u
șopteați	ʃ o p t j a t sʲ
făceau	f ə t͡ʃ e̯ a w
știu	ʃ t i u
masculinitate	m a s k u l i n i t a t e
gay	ɡ e j
fii	f iː
cenzurau	t͡ʃ e n z u r a w
tentase	t e n t a s e
lovit	l o v i t
zăpușea	z ə p u ʃ j a
misterioasă	m i s t e r i o̯ a s ə
ejaculam	e ʒ a k u l a m
ubicuului	u b i k u u l u j
dimineți	d i m i n e t sʲ
culoare	k u l o̯ a r e
știm	ʃ t i m
dus	d u s
excavaseși	e k s k a v a s e ʃʲ
șoptitei	ʃ o p t i t e j
spargi	s p a r d͡ʒʲ
vaci	v a t͡ʃʲ
masturbatului	m a s t u r b a t u l u j
pregătisem	p r e ɡ ə t i s e m
călătorea	k ə l ə t o r j a
crunt	k r u n t
numesc	n u m e s k
neutri	n e u t r i
găoază	ɡ ə w a z ə
scrumiere	s k r u m i e r e
stupid	s t u p i d
crede	k r e d e
cerere	t͡ʃ e r e r e
istoricește	i s t o r i t͡ʃ e ʃ t e
omniprezențele	o m n i p r e z e n t s e l e
misterioasele	m i s t e r i o̯ a s e l e
cântând	k ɨ n t ɨ n d
homosexualelor	h o m o s e k s u a l e l o r
tentasem	t e n t a s e m
lucrul	l u k r u
necăjite	n e k ə ʒ i t e
mergem	m e r d͡ʒ e m
creă	k r e ə
teatru	t e̯ a t r u
trebuie	t r e b u j e
zăpușim	z ə p u ʃ i m
basma	b a s m a
macedonean	m a t͡ʃ e d o n e̯ a n
fuseseși	f u s e s e ʃʲ
lipsești	l i p s e ʃ tʲ
delirante	d e l i r a n t e
sfârșind	s f ɨ r ʃ i n d
folosiților	f o l o s i t͡s i l o r
tatuară	t a t u a r ə
știe	ʃ t i e
potabilitate	p o t a b i l i t a t e
întâlniților	ɨ n t ɨ l n i t͡s i l o r
veștejise	v e ʃ t e ʒ i s e
drăguț	d r ə ɡ u t͡s
funcționai	f u n k t͡s i o n a j
perversitate	p e r v e r s i t a t e
veștejind	v e ʃ t e ʒ i n d
numea	n u m j a
futeau	f u t e̯ a u
șantajați	ʃ a n t a ʒ a t͡sʲ
delimitai	d e l i m i t a j
șoptise	ʃ o p t i s e
numitele	n u m i t e l e
zăpușise	z ə p u ʃ i s e
spovediserăm	s p o v e d i s e r ə m
morcov	m o r k o v
frecaseră	f r e k a s e r ə
șoptit	ʃ o p t i t
prietenul	p r i e t e n u
pornograficei	p o r n o ɡ r a f i t͡ʃ e j
locvace	l o k v a t͡ʃ e
vrei	v r e j
creară	k r e a r ə
numeați	n u m j a t sʲ
șansă	ʃ a n s ə
veștejiților	v e ʃ t e ʒ i t͡s i l o r
șantajează	ʃ a n t a ʒ j a z ə
evlavii	e v l a v iː
lipsise	l i p s i s e
străluci	s t r ə l u t ʃʲ
facilități	f a t ʃ i l i t ə t sʲ
emil	e m i l
francez	f r a n t͡ʃ e z
tentat	t e n t a t
literă	l i t e r ə
îmbunătățiții	ɨ m b u n ə t ə t͡s i t͡s iː
găsiserăți	ɡ ə s i s e r ə t sʲ
sugeam	s u d͡ʒ e̯ a m
buzunar	b u z u n a r
lucrez	l u k r e z
leg	l e ɡ
tatuăm	t a t u ə m
oprind	o p r i n d
puț	p u t s
dușmăneam	d u ʃ m ə n j a m
orientaserăți	o r i e n t a s e r ə t sʲ
tricou	t r i k o w
clădeam	k l ə d j a m
ejaculași	e ʒ a k u l a ʃʲ
limitaserăți	l i m i t a s e r ə t sʲ
harpist	h a r p i s t
comun	k o m u n
izraelit	i z r a e l i t
macabră	m a k a b r ə
cazi	k a zʲ
îmbunătățiți	ɨ m b u n ə t ə t͡s i t͡sʲ
apocalipticii	a p o k a l i p t i t͡ʃ iː
masturbată	m a s t u r b a t ə
torturaseși	t o r t u r a s e ʃʲ
apocaliptici	a p o k a l i p t i t͡ʃʲ
vorbeam	v o r bʲ æ m
neîmbunătățit	n e ɨ m b u n ə t ə t͡s i t
serilor	s e r i l o r
sodomizaserăți	s o d o m i z a s e r ə t͡sʲ
moment	m o m e n t
pion	p i o n
mâncară	m ɨ n k a r ə
tatuaserăți	t a t u a s e r ə t sʲ
arșița	a r ʃ i t s a
oglindă	o ɡ l i n d ə
numeai	n u m j a j
hămesi	h ə m e s i
reviste	r e v i s t e
furtuna	f u r t u n a
protejam	p r o t e ʒ a m
șapte	ʃ a p t e
perineului	p e r i n e u l
freca	f r e k a
note	n o t e
îmbăta	ɨ m b ə t a
sodomizași	s o d o m i z a ʃʲ
făcură	f ə k u r ə
grăbiții	ɡ r ə b i t͡s iː
lipsirăți	l i p s i r ə t sʲ
cumva	k u m v a
lăsa	l ə s a
întăritul	ɨ n t ə r i t u
leoaică	l e o̯ w a i̯ k ə
iubiși	j u b i ʃʲ
tentarăți	t e n t a r ə t sʲ
șantajurilor	ʃ a n t a ʒ u r i l o r
vorbește	v o r b e ʃ t e
pa	p a
scalzi	s k a l zʲ
lipsirăm	l i p s i r ə m
folosiși	f o l o s i ʃʲ
subsuoară	s u b s u w a r ə
insulă	i n s u l ə
veșnic	v e ʃ n i k
clara	k l a r a
grăbitului	ɡ r ə b i t u l u j
deranjăm	d e r a n ʒ ə m
înjurături	ɨ n ʒ u r ə t u rʲ
ptru	ʙ̥ː u
nenorocitule	n e n o ɾ o t͡ʃ i t u l e
găsești	ɡ ə s e ʃ tʲ
penisul	p e n i s u
lucrului	l u k r u l u j
atrage	a t r a d ʒ e
evlavioasa	e v l a v i o̯ a s a
întăriseră	ɨ n t ə r i s e r ə
clădirăm	k l ə d i r ə m
disponibilitate	d i s p o n i b i l i t a t e
cetățean	t͡ʃ e t ə t͡s e̯ a n
fierbinte	f j e r b i n t e
consoană	k o n s w a n ə
distreze	d i s t r e z e
întristeze	ɨ n t r i s t e z e
dea	dʲ æ
vargă	v a r ɡ ə
acum	a k u m
tentau	t e n t a w
fețe	f e t s e
folosi	f o l o s i
lipseați	l i p s j a t sʲ
supserăm	s u p s e r ə m
primeau	p r i m j a w
șoptitele	ʃ o p t i t e l e
fuse	f u s e
adăuga	a d ə u ɡ a
liniștit	l i n i ʃ t i t
grăbești	ɡ r ə b e ʃ tʲ
orientasem	o r i e n t a s e m
pregătești	p r e ɡ ə t e ʃ tʲ
ubicuul	u b i k u u l
pornograficelor	p o r n o ɡ r a f i t͡ʃ e l o r
sângerasem	s ɨ n d͡ʒ e r a s e m
fundași	f u n d a ʃʲ
găsitul	ɡ ə s i t u l
distra	d i s t r a
moartă	m o̯ a r t ə
limbilor	l i m b i l o r
șoptiților	ʃ o p t i t͡s i l o r
penisurile	p e n i s u r i l e
apocalipticul	a p o k a l i p t i k u
puțin	p u t͡s i n
tatuat	t a t u a t
coniac	k o n j a k
alfabetul	a l f a b e t u l
necăjit	n e k ə ʒ i t
duce	d u t͡ʃ e
culturi	k u l t u rʲ
anonimă	a n o n i m ə
palimpsest	p a l i m p s e s t
abandonăm	a b a n d o n ə m
sodomizasem	s o d o m i z a s e m
pornograful	p o r n o ɡ r a f u
lipsesc	l i p s e s k
cheie	k e j e
știi	ʃ t iː
pornografiilor	p o r n o ɡ r a f iː l o r
pornind	p o r n i n d
forma	f o r m a
frate	f r a t e
aeroport	a e ɾ o p o ɾ t
găsiră	ɡ ə s i r ə
stimulând	s t i m u l ɨ n d
chilot	k i l o t͡sʲ
legea	l e d͡ʒ e̯ a
tată	t a t ə
asurzești	a s u r z e ʃ tʲ
japonez	ʒ a p o n e z
păianjenului	p ə j a n ʒ e n u l u j
conformitate	c o n f o r m i t a t e
zăpușisem	z ə p u ʃ i s e m
viezure	v j e z u r e
cenzuraseși	t͡ʃ e n z u r a s e ʃʲ
mărturisite	m ə r t u r i s i t e
murit	m u r i t
asurziților	a s u r z i t͡s i l o r
ușă	u ʃ ə
șantajatul	ʃ a n t a ʒ a t u
perineele	p e r i n eː l e
întărind	ɨ n t ə r i n d
sângeram	s ɨ n d͡ʒ e r a m
abandonă	a b a n d o n ə
unit	u n i t
bea	b e̯ a
găsitei	ɡ ə s i t e j
clădeați	k l ə d j a t sʲ
mulțumiseși	m u l t s u m i s e ʃʲ
nor	n o r
răpea	r ə p j a
supseserăți	s u p s e s e r ə t͡sʲ
sexualelor	s e k s u a l e l o r
necăjitei	n e k ə ʒ i t e j
gravitaserăm	ɡ r a v i t a s e r ə m
limitași	l i m i t a ʃʲ
haiduc	h a j d u k
citiși	t ʃ i t i ʃʲ
oprirăm	o p r i r ə m
plictisitul	p l i k t i s i t u l
arăta	a r ə t a
adăpa	a d ə p a
îngeri	ɨ n d ʒ e rʲ
tatuam	t a t u a m
călătoriților	k ə l ə t o r i t͡s i l o r
pulele	p u l e l e
transilvania	t r a n s i l v a n i a
felației	f e l a t s i e j
sodomizatul	s o d o m i z a t u l
găozar	ɡ ə w z a r
fumând	f u m ɨ n d
democratic	d e m o k r a t i k
opritelor	o p r i t e l o r
virgulă	v i r ɡ u l ə
eliminat	e l i m i n a t
mărturisiși	m ə r t u r i s i ʃʲ
orientase	o r i e n t a s e
senzualitate	s e n z u a l i t a t e
vorbă	v o r b ə
masturbaseră	m a s t u r b a s e r ə
cititului	t͡ʃ i t i t u l u j
aligator	a l i ɡ a t o r
sfârșitul	s f ɨ r ʃ i t u l
