あば	a̠ b a̠
りゃくだつ	ɾʲ a̠ k ɯ̟ᵝ d a̠ t͡s ɨᵝ
ぎゃくさつ	ɡʲ a̠ k ɯ̟ᵝ s a̠ t͡s ɨᵝ
ぎゃくすう	ɡʲ a̠ k ɯ̟ᵝ s ɨᵝː
りゃくれき	ɾʲ a̠ k ɯ̟ᵝ ɾ e̞ kʲ i
わさんぼん	ɰᵝ a̠ s ã̠ m b õ̞ ɴ
わたりあう	ɰᵝ a̠ t a̠ ɾʲ i a̠ ɯ̟ᵝ
わたりどり	ɰᵝ a̠ t a̠ ɾʲ i d o̞ ɾʲ i
わらべうた	ɰᵝ a̠ ɾ a̠ b e̞ ɯ̟ᵝ t a̠
われもこう	ɰᵝ a̠ ɾ e̞ m o̞ k o̞ː
わしづかみ	ɰᵝ a̠ ɕ i z ɨᵝ k a̠ mʲ i
わりあてる	ɰᵝ a̠ ɾʲ i a̠ t e̞ ɾ ɯ̟ᵝ
わりちゅう	ɰᵝ a̠ ɾʲ i t͡ɕ ɨᵝː
わんりょく	ɰᵝ ã̠ n ɾʲ o̞ k ɯ̟ᵝ
わんしょう	ɰᵝ ã̠ ɰ̃ ɕ o̞ː
にほんざる	ɲ̟ i h õ̞ n d͡z a̠ ɾ ɯ̟ᵝ
にほんこく	ɲ̟ i h õ̞ ŋ k o̞ k ɯ̟ᵝ
にほんじか	ɲ̟ i h õ̞ ɲ̟ d͡ʑ i k a̠
にほんしゅ	ɲ̟ i h õ̞ ɰ̃ ɕ ɨᵝ
にいんせい	ɲ̟ i ĩ ɰ̃ s e̞ː
りこしゅぎ	ɾʲ i k o̞ ɕ ɨᵝ ɡʲ i
にくばなれ	ɲ̟ i k ɯ̟ᵝ b a̠ n a̠ ɾ e̞
にくだんご	ɲ̟ i k ɯ̟ᵝ d ã̠ ŋ ɡ o̞
りくじょう	ɾʲ i k ɯ̟ᵝ ʑ o̞ː
にくじゅう	ɲ̟ i k ɯ̟ᵝ ʑ ɨᵝː
りくちゅう	ɾʲ i k ɯ̟̊ᵝ t͡ɕ ɨᵝː
にくしょう	ɲ̟ i k ɯ̟̊ᵝ ɕ o̞ː
りくしょう	ɾʲ i k ɯ̟̊ᵝ ɕ o̞ː
りっきょう	ɾʲ i k̚ʲ kʲ o̞ː
ぎもんぶん	ɡʲ i m õ̞ m b ɯ̟̃ᵝ ɴ
にほんとう	ɲ̟ i p̚ p õ̞ n t o̞ː
にっぽんご	ɲ̟ i p̚ p õ̞ ŋ ɡ o̞
りせいてき	ɾʲ i s e̞ː t e̞ kʲ i
りそうぞう	ɾʲ i s o̞ː z o̞ː
にとうきん	ɲ̟ i t o̞ː kʲ ĩ ɴ
りったいし	ɾʲ i t̚ t a̠ i ɕ i
にっちょう	ɲ̟ i t̚ t͡ɕ o̞ː
にっちゅう	ɲ̟ i t̚ t͡ɕ ɨᵝː
にちようび	ɲ̟ i t͡ɕ i j o̞ː bʲ i
にちじょう	ɲ̟ i t͡ɕ i ʑ o̞ː
ぎぜんしゃ	ɡʲ i z ẽ̞ ɰ̃ ɕ a̠
にらめっこ	ɲ̟ i ɾ a̠ m e̞ k̚ k o̞
にがわらい	ɲ̟ i ɡ a̠ ɰᵝ a̠ ɾ a̠ i
にしきへび	ɲ̟ i ɕ i̥ kʲ i h e̞ bʲ i
りしんろん	ɾʲ i ɕ ĩ n ɾ õ̞ ɴ
にしんほう	ɲ̟ i ɕ ĩ ɰ̃ h o̞ː
にごろぶな	ɲ̟ i ɡ o̞ ɾ o̞ b ɯ̟ᵝ n a̠
にじょうき	ɲ̟ i ʑ o̞ː kʲ i
にるいしゅ	ɲ̟ i ɾ ɯ̟ᵝ i ɕ ɨᵝ
にじゅうし	ɲ̟ i ʑ ɨᵝː j õ̞ ɴ
にじゅうご	ɲ̟ i ʑ ɨᵝː ɡ o̞
にりんそう	ɲ̟ i ɾʲ ĩ ɰ̃ s o̞ː
にっしゅつ	ɲ̟ i ɕː ɯ̟ᵝ t͡s ɨᵝ
りっしゅう	ɾʲ i ɕː ɯ̟ᵝː
りんびょう	ɾʲ ĩ m bʲ o̞ː
りんりがく	ɾʲ ĩ n ɾʲ i ɡ a̠ k ɯ̟ᵝ
ぎんがけい	ɡʲ ĩ ŋ ɡ a̠ k e̞ː
にんじゅつ	ɲ̟ ĩ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
にんちゅう	ɲ̟ ĩ ɲ̟ t͡ɕ ɨᵝː
にんしょう	ɲ̟ ĩ ɰ̃ ɕ o̞ː
りんしょう	ɾʲ ĩ ɰ̃ ɕ o̞ː
ぎんぎつね	ɡʲ ĩ ŋʲ ɡʲ i t͡s ɨᵝ n e̞
にんぎょう	ɲ̟ ĩ ŋʲ ɡʲ o̞ː
りんぎょう	ɾʲ ĩ ŋʲ ɡʲ o̞ː
うろこぐも	ɾʲ ĩ ɰ̃ ɯ̟̃ᵝ ɴ
りょかくき	ɾʲ o̞ k a̠ k ɯ̟̊ᵝ kʲ i
りょくちゃ	ɾʲ o̞ k ɯ̟ᵝ t͡ɕ a̠
りょくちく	ɾʲ o̞ k ɯ̟ᵝ t͡ɕ i k ɯ̟ᵝ
りょっこう	ɾʲ o̞ k̚ k o̞ː
ぎょしゃざ	ɡʲ o̞ ɕ a̠ z a̠
ぎょりゅう	ɡʲ o̞ ɾʲ ɨᵝː
にょうどう	ɲ̟ o̞ː d o̞ː
りょうどう	ɾʲ o̞ː d o̞ː
りょうほう	ɾʲ o̞ː h o̞ː
りょうゆう	ɾʲ o̞ː j ɯ̟ᵝː
りょうけい	ɾʲ o̞ː k e̞ː
りょうけん	ɾʲ o̞ː k ẽ̞ ɴ
りょうこく	ɾʲ o̞ː k o̞ k ɯ̟ᵝ
りょうごく	ɾʲ o̞ː k o̞ k ɯ̟ᵝ
りょうくう	ɾʲ o̞ː k ɯ̟ᵝː
りょうきき	ɾʲ o̞ː kʲ i kʲ i
りょうきん	ɾʲ o̞ː kʲ ĩ ɴ
りょうせい	ɾʲ o̞ː s e̞ː
りょうしつ	ɾʲ o̞ː ɕ i t͡s ɨᵝ
りょうしん	ɾʲ o̞ː ɕ ĩ ɴ
ぎょうしょ	ɡʲ o̞ː ɕ o̞
りょうわき	ɾʲ o̞ː ɰᵝ a̠ kʲ i
りゅうあん	ɾʲ ɨᵝː ã̠ ɴ
りゅうぼく	ɾʲ ɨᵝː b o̞ k ɯ̟ᵝ
りゅうどう	ɾʲ ɨᵝː d o̞ː
ぎゅうどん	ɡʲ ɨᵝː d õ̞ ɴ
しゅうけい	ɕʲ ɯᵝː k e̞ː
りゅうこつ	ɾʲ ɨᵝː k o̞ t͡s ɨᵝ
りゅうおん	ɾʲ ɨᵝː õ̞ ɴ
りゅうしゃ	ɾʲ ɨᵝː s a̠
りゅうさん	ɾʲ ɨᵝː s ã̠ ɴ
りゅうせい	ɾʲ ɨᵝː s e̞ː
りゅうたい	ɾʲ ɨᵝː t a̠ i
りゅうざん	ɾʲ ɨᵝː z ã̠ ɴ
ぎゅうらく	ɡʲ ɨᵝː ɾ a̠ k ɯ̟ᵝ
りゅうがく	ɾʲ ɨᵝː ɡ a̠ k ɯ̟ᵝ
りゅうごう	ɾʲ ɨᵝː ɡ o̞ː
にゅういん	ɲ̟ ɯ̟ᵝː ĩ ɴ
にゅうよく	ɲ̟ ɯ̟ᵝː j o̞ k ɯ̟ᵝ
にゅうかい	ɲ̟ ɯ̟ᵝː k a̠ i
にゅうこう	ɲ̟ ɯ̟ᵝː k o̞ː
にゅうきん	ɲ̟ ɯ̟ᵝː kʲ ĩ ɴ
にゅうきょ	ɲ̟ ɯ̟ᵝː kʲ o̞
にゅうめつ	ɲ̟ ɯ̟ᵝː m e̞ t͡s ɨᵝ
にゅうもん	ɲ̟ ɯ̟ᵝː m õ̞ ɴ
にゅうさん	ɲ̟ ɯ̟ᵝː s ã̠ ɴ
にゅうせき	ɲ̟ ɯ̟ᵝː s e̞ kʲ i
にゅうせい	ɲ̟ ɯ̟ᵝː s e̞ː
にゅうせん	ɲ̟ ɯ̟ᵝː s ẽ̞ ɴ
にゅうたい	ɲ̟ ɯ̟ᵝː t a̠ i
にゅうとう	ɲ̟ ɯ̟ᵝː t o̞ː
にゅうざん	ɲ̟ ɯ̟ᵝː z ã̠ ɴ
にゅうしゃ	ɲ̟ ɯ̟ᵝː ɕ a̠
にゅうらい	ɲ̟ ɯ̟ᵝː ɾ a̠ i
にゅうがん	ɲ̟ ɯ̟ᵝː ɡ ã̠ ɴ
にゅうしつ	ɲ̟ ɯ̟ᵝː ɕ i t͡s ɨᵝ
にゅうしゅ	ɲ̟ ɯ̟ᵝː ɕ ɨᵝ
にゅうりん	ɲ̟ ɯ̟ᵝː ɾʲ ĩ ɴ
うでどけい	ɯ̟ᵝ d e̞ d o̞ k e̞ː
うえきばち	ɯ̟ᵝ e̞ kʲ i b a̠ t͡ɕ i
うえもんふ	ɯ̟ᵝ e̞ m õ̞ ɰ̃ ɸ ɯ̟ᵝ
うこっけい	ɯ̟ᵝ k o̞ k̚ k e̞ː
うきすどり	ɯ̟ᵝ kʲ i s ɨᵝ d o̞ ɾʲ i
うまれつき	ɯ̟ᵝ m a̠ ɾ e̞ t͡s ɨᵝ kʲ i
うめあわせ	ɯ̟ᵝ m e̞ a̠ ɰᵝ a̠ s e̞
うみぼうず	ɯ̟ᵝ mʲ i b o̞ː z ɨᵝ
うみだぬき	ɯ̟ᵝ mʲ i d a̠ n ɯ̟ᵝ kʲ i
うみへびざ	ɯ̟ᵝ mʲ i h e̞ bʲ i z a̠
うみとかげ	ɯ̟ᵝ mʲ i t o̞ k a̠ ɡ e̞
うみがらす	ɯ̟ᵝ mʲ i ɡ a̠ ɾ a̠ s ɨᵝ
うすわらい	ɯ̟ᵝ s ɨᵝ ɰᵝ a̠ ɾ a̠ i
うとましい	ɯ̟ᵝ t o̞ m a̠ ɕ iː
うつのみや	ɯ̟ᵝ t͡s ɨᵝ n o̞ mʲ i j a̠
うちくだく	ɯ̟ᵝ t͡ɕ i k ɯ̟ᵝ d a̠ k ɯ̟ᵝ
うらばなし	ɯ̟ᵝ ɾ a̠ b a̠ n a̠ ɕ i
うらどおり	ɯ̟ᵝ ɾ a̠ d o̞ː ɾʲ i
うらめしい	ɯ̟ᵝ ɾ a̠ m e̞ ɕ iː
うらおもて	ɯ̟ᵝ ɾ a̠ o̞ m o̞ t e̞
うらがえし	ɯ̟ᵝ ɾ a̠ ɡ a̠ e̞ ɕ i
うらがえる	ɯ̟ᵝ ɾ a̠ ɡ a̠ e̞ ɾ ɯ̟ᵝ
うれのこり	ɯ̟ᵝ ɾ e̞ n o̞ k o̞ ɾʲ i
うれしなき	ɯ̟ᵝ ɾ e̞ ɕ i n a̠ kʲ i
うしがえる	ɯ̟ᵝ ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
うしかいざ	ɯ̟ᵝ ɕ i̥ k a̠ i z a̠
うるおぼえ	ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ b o̞ e̞
うぐらもち	ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ a̠ m o̞ t͡ɕ i
うるしばら	ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i b a̠ ɾ a̠
うるしはら	ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i h a̠ ɾ a̠
うぐろもち	ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ o̞ m o̞ t͡ɕ i
うるわしい	ɯ̟ᵝ ɾ ɯ̟ᵝ ɰᵝ a̠ ɕ iː
うるうどし	ɯ̟ᵝ ɾ ɯ̟ᵝː d o̞ ɕ i
うりみばえ	ɯ̟ᵝ ɾʲ i mʲ i b a̠ e̞
うりわたす	ɯ̟ᵝ ɾʲ i ɰᵝ a̠ t a̠ s ɨᵝ
うんぴょう	ɯ̟̃ᵝ m pʲ o̞ː
うんだめし	ɯ̟̃ᵝ n d a̠ m e̞ ɕ i
あいあいがさ	a̠ i a̠ i ɡ a̠ s a̠
あいかわらず	a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ
あいくるしい	a̠ i k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あいぞうばん	a̠ i z o̞ː b ã̠ ɴ
あいしょうか	a̠ i ɕ o̞ː k a̠
あかつめくさ	a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
あかちゃける	a̠ k a̠ t͡ɕ a̠ k e̞ ɾ ɯ̟ᵝ
あかうみがめ	a̠ k a̠ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
あまえんぼう	a̠ m a̠ ẽ̞ m b o̞ː
あおじゃしん	a̠ o̞ ʑ a̠ ɕ ĩ ɴ
あおげいとう	a̠ o̞ ɡ e̞ː t o̞ː
あおうみがめ	a̠ o̞ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
あたまじらみ	a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i
あてずっぽう	a̠ t e̞ z ɨᵝ p̚ p o̞ː
あつくるしい	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あつさしのぎ	a̠ t͡s ɨᵝ s a̠ ɕ i n o̞ ɡʲ i
あらあらしい	a̠ ɾ a̠ a̠ ɾ a̠ ɕ i i
あげはちょう	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
あしたれぼし	a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i
ありつかげら	a̠ ɾʲ i t͡s ɨᵝ k a̠ ɡ e̞ ɾ a̠
ありゅうさん	a̠ ɾʲ ɨᵝː s ã̠ ɴ
あんぽんたん	ã̠ m p õ̞ n t ã̠ ɴ
あんていざい	ã̠ n t e̞ː z a̠ i
あんないしょ	ã̠ nː a̠ i ɕ o̞
あんしじゅつ	ã̠ ɰ̃ ɕ i ʑ ɨᵝ t͡s ɨᵝ
ばいしんいん	b a̠ i ɕ ĩ ɰ̃ ĩ ɴ
ばくはつおん	b a̠ k ɯ̟ᵝ h a̠ t͡s ɨᵝ õ̞ ɴ
ばくはつぶつ	b a̠ k ɯ̟̊ᵝ h a̠ t͡s ɨᵝ b ɯ̟ᵝ t͡s ɨᵝ
ばにゅうしゅ	b a̠ ɲ̟ ɯ̟ᵝː ɕ ɨᵝ
ばんみんほう	b ã̠ mʲː ĩ ɰ̃ h o̞ː
ばんかきょう	b ã̠ ŋ k a̠ kʲ o̞ː
べにさしゆび	b e̞ ɲ̟ i s a̠ ɕ i j ɯ̟ᵝ bʲ i
べんとうばこ	b ẽ̞ n t o̞ː b a̠ k o̞
べんじょめし	b ẽ̞ ɲ̟ d͡ʑ o̞ m e̞ ɕ i
ぼくねんじん	b o̞ k ɯ̟ᵝ n ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
ぼうえきふう	b o̞ː e̞ kʲ i̥ ɸ ɯ̟ᵝː
ぼうえいぐん	b o̞ː e̞ː ɡ ɯ̟̃ᵝ ɴ
ぼうこうえん	b o̞ː k o̞ː ẽ̞ ɴ
ぼうせつえん	b o̞ː s e̞ t͡s ɨᵝ ẽ̞ ɴ
ぼうたかとび	b o̞ː t a̠ k a̠ t o̞ bʲ i
ぶどうばたけ	b ɯ̟ᵝ d o̞ː b a̠ t a̠ k e̞
ぶきようもの	b ɯ̟ᵝ kʲ i j o̞ː m o̞ n o̞
ぶじそくさい	b ɯ̟ᵝ ʑ i s o̞ k ɯ̟ᵝ s a̠ i
ぶっしつかい	b ɯ̟ᵝ ɕː i t͡s ɨᵝ k a̠ i
ぶっしゅかん	b ɯ̟ᵝ ɕː ɯ̟ᵝ k ã̠ ɴ
ぶんべんだい	b ɯ̟̃ᵝ m b ẽ̞ n d a̠ i
ぶんるいがく	b ɯ̟̃ᵝ n ɾ ɯ̟ᵝ i ɡ a̠ k ɯ̟ᵝ
ぶんこうほう	b ɯ̟̃ᵝ ŋ k o̞ː h o̞ː
びゃくだんゆ	bʲ a̠ k ɯ̟ᵝ d ã̠ ɰ̃ j ɯ̟ᵝ
びちょうせい	bʲ i t͡ɕ o̞ː s e̞ː
びしょうじょ	bʲ i ɕ o̞ː ʑ o̞
びじゅつかん	bʲ i ʑ ɨᵝ t͡s ɨᵝ k ã̠ ɴ
びょうじょく	bʲ o̞ː ʑ o̞ k ɯ̟ᵝ
ひゃくしょう	ç a̠ k ɯ̟̊ᵝ ɕ o̞ː
ひゃっかてん	ç a̠ k̚ k a̠ t ẽ̞ ɴ
ひかがくてき	ç i k a̠ ɡ a̠ k ɯ̟ᵝ t e̞ kʲ i
ひきこもごも	ç i kʲ i k o̞ m o̞ ɡ o̞ m o̞
ひきょうえき	ç i kʲ o̞ː e̞ kʲ i
ひなたぼっこ	ç i n a̠ t a̠ b o̞ k̚ k o̞
ひそひそごえ	ç i s o̞ ç i s o̞ ɡ o̞ e̞
ひとりひとり	ç i t o̞ ɾʲ i ç i t o̞ ɾʲ i
いちにんまえ	ç i t o̞ ɾʲ i m a̠ e̞
ひつぜんせい	ç i t͡s ɨᵝ z ẽ̞ ɰ̃ s e̞ː
ひつじゅひん	ç i t͡s ɨᵝ ʑ ɨᵝ ç ĩ ɴ
ひらぢょうし	ç i ɾ a̠ ʑ o̞ː ɕ i
ひろいあげる	ç i ɾ o̞ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
ひろくちびん	ç i ɾ o̞ k ɯ̟ᵝ t͡ɕ i bʲ ĩ ɴ
ひろしまけん	ç i ɾ o̞ ɕ i m a̠ k ẽ̞ ɴ
ひじょうすう	ç i ʑ o̞ː s ɨᵝː
ひにょうきか	ç i ɲ̟ o̞ː kʲ i k a̠
ひとさしゆび	ç i̥ t o̞ s a̠ ɕ i j ɯ̟ᵝ bʲ i
ひとりぼっち	ç i̥ t o̞ ɾʲ i b o̞ t̚ t͡ɕ i
ひんこんしゃ	ç ĩ ŋ k õ̞ ɰ̃ ɕ a̠
ひょうきゆれ	ç o̞ː kʲ i j ɯ̟ᵝ ɾ e̞
ひょうがいじ	ç o̞ː ɡ a̠ i ʑ i
ひょうごけん	ç o̞ː ɡ o̞ k ẽ̞ ɴ
ひょうじゅん	ç o̞ː ʑ ɨ̃ᵝ ɴ
ひょうぎかい	ç o̞ː ɡʲ i k a̠ i
だいだいてき	d a̠ i d a̠ i t e̞ kʲ i
だいでんきん	d a̠ i d ẽ̞ ŋʲ kʲ ĩ ɴ
だいいんしん	d a̠ i ĩ ɰ̃ ɕ ĩ ɴ
だいこうぶつ	d a̠ i k o̞ː b ɯ̟ᵝ t͡s ɨᵝ
だいきぎょう	d a̠ i kʲ i ɡʲ o̞ː
だいきゅうし	d a̠ i kʲ ɨᵝː ɕ i
だいさくしゃ	d a̠ i s a̠ k ɯ̟ᵝ ɕ a̠
だいすうがく	d a̠ i s ɨᵝː ɡ a̠ k ɯ̟ᵝ
だいがくいん	d a̠ i ɡ a̠ k ɯ̟ᵝ ĩ ɴ
だいじぇすと	d a̠ i ʑ e̞ s ɨᵝ t o̞
だいろっかん	d a̠ i ɾ o̞ k̚ k ã̠ ɴ
だいうちゅう	d a̠ i ɯ̟ᵝ t͡ɕ ɨᵝː
だきかかえる	d a̠ kʲ i k a̠ k a̠ e̞ ɾ ɯ̟ᵝ
だるまおとし	d a̠ ɾ ɯ̟ᵝ m a̠ o̞ t o̞ ɕ i
だんどうがく	d ã̠ n d o̞ː ɡ a̠ k ɯ̟ᵝ
だんとうだい	d ã̠ n t o̞ː d a̠ i
だんしりょう	d ã̠ ɰ̃ ɕ i ɾʲ o̞ː
であいがしら	d e̞ a̠ i ɡ a̠ ɕ i ɾ a̠
でいばんがん	d e̞ː b ã̠ ŋ ɡ ã̠ ɴ
でんでんむし	d ẽ̞ n d ẽ̞ mː ɯ̟ᵝ ɕ i
どくせんよく	d o̞ k ɯ̟ᵝ s ẽ̞ ɰ̃ j o̞ k ɯ̟ᵝ
どくそうせい	d o̞ k ɯ̟ᵝ s o̞ː s e̞ː
どくしんしゃ	d o̞ k ɯ̟ᵝ ɕ ĩ ɰ̃ ɕ a̠
どくりつこく	d o̞ k ɯ̟ᵝ ɾʲ i t͡s ɨ̥ᵝ k o̞ k ɯ̟ᵝ
どくさいしゃ	d o̞ k ɯ̟̊ᵝ s a̠ i ɕ a̠
どくせいがく	d o̞ k ɯ̟̊ᵝ s e̞ː ɡ a̠ k ɯ̟ᵝ
どせきりゅう	d o̞ s e̞ kʲ i ɾʲ ɨᵝː
どじょうがく	d o̞ ʑ o̞ː ɡ a̠ k ɯ̟ᵝ
どりょうこう	d o̞ ɾʲ o̞ː k o̞ː
どうぶつかい	d o̞ː b ɯ̟ᵝ t͡s ɨ̥ᵝ k a̠ i
どういつせい	d o̞ː i t͡s ɨᵝ s e̞ː
どうめいこく	d o̞ː m e̞ː k o̞ k ɯ̟ᵝ
どうそうかい	d o̞ː s o̞ː k a̠ i
どうしんえん	d o̞ː ɕ ĩ ɰ̃ ẽ̞ ɴ
どうろふうさ	d o̞ː ɾ o̞ ɸ ɯ̟ᵝː s a̠
どうりきがく	d o̞ː ɾʲ i kʲ i ɡ a̠ k ɯ̟ᵝ
じょうげてん	d ʑ oː ɡ e t e ɴ
ざいあくかん	d͡z a̠ i a̠ k ɯ̟ᵝ k ã̠ ɴ
ざとうくじら	d͡z a̠ t o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
ざんていてき	d͡z ã̠ n t e̞ː t e̞ kʲ i
ぜったいかく	d͡z e̞ t̚ t a̠ i k a̠ k ɯ̟ᵝ
ぜったいてき	d͡z e̞ t̚ t a̠ i t e̞ kʲ i
ぜつぼうてき	d͡z e̞ t͡s ɨᵝ b o̞ː t e̞ kʲ i
ぜんたいてき	d͡z ẽ̞ n t a̠ i t e̞ kʲ i
ぜんとうよう	d͡z ẽ̞ n t o̞ː j o̞ː
ぜんりつせん	d͡z ẽ̞ n ɾʲ i t͡s ɨ̥ᵝ s ẽ̞ ɴ
ぜんえいてき	d͡z ẽ̞ ɰ̃ e̞ː t e̞ kʲ i
ずいこういん	d͡z ɨᵝ i k o̞ː ĩ ɴ
じゃこうじか	d͡ʑ a̠ k o̞ː ʑ i k a̠
じゃっきゅう	d͡ʑ a̠ k̚ʲ kʲ ɨᵝː
じへいしょう	d͡ʑ i h e̞ː ɕ o̞ː
じかだんぱん	d͡ʑ i k a̠ d ã̠ m p ã̠ ɴ
じこくひょう	d͡ʑ i k o̞ k ɯ̟̊ᵝ ç o̞ː
じさつよぼう	d͡ʑ i s a̠ t͡s ɨᵝ j o̞ b o̞ː
じっすうたい	d͡ʑ i sː ɯ̟ᵝː t a̠ i
じったいけん	d͡ʑ i t̚ t a̠ i k ẽ̞ ɴ
じったいろん	d͡ʑ i t̚ t a̠ i ɾ õ̞ ɴ
じつざいろん	d͡ʑ i t͡s ɨᵝ z a̠ i ɾ õ̞ ɴ
じごうじとく	d͡ʑ i ɡ o̞ː ʑ i t o̞ k ɯ̟ᵝ
じんばきゅう	d͡ʑ ĩ m b a̠ kʲ ɨᵝː
じんべえざめ	d͡ʑ ĩ m b e̞ e̞ z a̠ m e̞
じんべいざめ	d͡ʑ ĩ m b e̞ː z a̠ m e̞
じんぶんがく	d͡ʑ ĩ m b ɯ̟̃ᵝ ŋ ɡ a̠ k ɯ̟ᵝ
じんめんぎょ	d͡ʑ ĩ mː ẽ̞ ŋʲ ɡʲ o̞
じんずうりき	d͡ʑ ĩ n t͡s ɨᵝː ɾʲ i kʲ i
じんりきしゃ	d͡ʑ ĩ n ɾʲ i kʲ i̥ ɕ a̠
じんこうしば	d͡ʑ ĩ ŋ k o̞ː ɕ i b a̠
じんせいかん	d͡ʑ ĩ ɰ̃ s e̞ː k ã̠ ɴ
じんちょうげ	d͡ʑ ĩ ɲ̟ t͡ɕ o̞ː ɡ e̞
じんしんじこ	d͡ʑ ĩ ɰ̃ ɕ ĩ ɲ̟ d͡ʑ i k o̞
じょまくしき	d͡ʑ o̞ m a̠ k ɯ̟ᵝ ɕ i kʲ i
じょそうざい	d͡ʑ o̞ s o̞ː z a̠ i
じょがくせい	d͡ʑ o̞ ɡ a̠ k ɯ̟̊ᵝ s e̞ː
じょしりょく	d͡ʑ o̞ ɕ i ɾʲ o̞ k ɯ̟ᵝ
じょじょうし	d͡ʑ o̞ ʑ o̞ː ɕ i
じょしゅせき	d͡ʑ o̞ ɕ ɨᵝ s e̞ kʲ i
じょうきあつ	d͡ʑ o̞ː kʲ i a̠ t͡s ɨᵝ
じょうきげん	d͡ʑ o̞ː kʲ i ɡ ẽ̞ ɴ
じょうきょう	d͡ʑ o̞ː kʲ o̞ː
じょうまえや	d͡ʑ o̞ː m a̠ e̞ j a̠
じょうたいか	d͡ʑ o̞ː t a̠ i k a̠
じょうちょう	d͡ʑ o̞ː t͡ɕ o̞ː
じょうちゅう	d͡ʑ o̞ː t͡ɕ ɨᵝː
じょうしょく	d͡ʑ o̞ː ɕ o̞ k ɯ̟ᵝ
じょうじょう	d͡ʑ o̞ː ʑ o̞ː
じょうりゅう	d͡ʑ o̞ː ɾʲ ɨᵝː
じゅけんせい	d͡ʑ ɨᵝ k ẽ̞ ɰ̃ s e̞ː
じゅくじくん	d͡ʑ ɨᵝ k ɯ̟ᵝ ʑ i k ɯ̟̃ᵝ ɴ
じゅうさんり	d͡ʑ ɨᵝː s ã̠ n ɾʲ i
じゅうじせん	d͡ʑ ɨᵝː ʑ i s ẽ̞ ɴ
じゅうじしゃ	d͡ʑ ɨᵝː ʑ i ɕ a̠
じゅうろくや	d͡ʑ ɨᵝː ɾ o̞ k ɯ̟ᵝ j a̠
じゅうしょう	d͡ʑ ɨᵝː ɕ o̞ː
じゅうじゅつ	d͡ʑ ɨᵝː ʑ ɨᵝ t͡s ɨᵝ
じゅうにがつ	d͡ʑ ɨᵝː ɲ̟ i ɡ a̠ t͡s ɨᵝ
じゅんきょう	d͡ʑ ɨ̃ᵝ ŋʲ kʲ o̞ː
じゅうりょく	d͡ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
じゅうりょう	d͡ʑ ɨᵝː ɾʲ o̞ː
じゅんしかん	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ i k ã̠ ɴ
じゅんしょく	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ o̞ k ɯ̟ᵝ
じゅんしょう	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ o̞ː
えのころぐさ	e̞ n o̞ k o̞ ɾ o̞ ɡ ɯ̟ᵝ s a̠
えつらんしつ	e̞ t͡s ɨᵝ ɾ ã̠ ɰ̃ ɕ i t͡s ɨᵝ
えぞおおかみ	e̞ z o̞ o̞ː k a̠ mʲ i
えいこくじん	e̞ː k o̞ k ɯ̟ᵝ ʑ ĩ ɴ
えんめいぎく	ẽ̞ mː e̞ː ɡʲ i k ɯ̟ᵝ
えいせいてき	e̞ː s e̞ː t e̞ kʲ i
えんきんほう	ẽ̞ ŋʲ kʲ ĩ ɰ̃ h o̞ː
えんそうかい	ẽ̞ ɰ̃ s o̞ː k a̠ i
えんそうしゃ	ẽ̞ ɰ̃ s o̞ː ɕ a̠
はだかまいり	h a̠ d a̠ k a̠ m a̠ i ɾʲ i
はえどくそう	h a̠ e̞ d o̞ k ɯ̟ᵝ s o̞ː
はえとりぐさ	h a̠ e̞ t o̞ ɾʲ i s o̞ː
はいでんばん	h a̠ i d ẽ̞ m b ã̠ ɴ
はいいろぐま	h a̠ i i ɾ o̞ ɡ ɯ̟ᵝ m a̠
はいせつぶつ	h a̠ i s e̞ t͡s ɨᵝ b ɯ̟ᵝ t͡s ɨᵝ
はいせんしゃ	h a̠ i s ẽ̞ ɰ̃ ɕ a̠
はいすいこう	h a̠ i s ɨᵝ i k o̞ː
はいとうたい	h a̠ i t o̞ː t a̠ i
